Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount,Customer_ID,age_range,HolidayName,Month_name,jan_dummy,feb_dummy,mar_dummy,apr_dummy,may_dummy,jun_dummy,jul_dummy,aug_dummy,sep_dummy,oct_dummy,nov_dummy,dec_dummy,spend_3m,QTY_3m,spend_12m,QTY_12m,dummy_under_20,dummy_20_29,dummy_30_39,dummy_40_49,dummy_50_59,dummy_60_plus,gender_dummy,HolidayDummy,Max_Temp,Min_Temp,Mean_Temp,Total_Precip_mm,Product_Category
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,CUST039,20-29,0,4,0,0,0,1,0,0,0,0,0,0,0,0,120,4,120,4,0,1,0,0,0,0,1,0,20.9,7.2,14.1,2.2,Clothing
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,CUST040,40-49,0,6,0,0,0,0,0,1,0,0,0,0,0,0,50,1,50,1,0,0,0,1,0,0,1,0,24.3,18.3,21.3,0,Beauty
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,CUST041,30-39,0,2,0,1,0,0,0,0,0,0,0,0,0,0,50,2,50,2,0,0,1,0,0,0,1,0,-0.3,-6.7,-3.5,17.7,Clothing
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,CUST042,20-29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,900,3,900,3,0,1,0,0,0,0,1,0,1,-7.9,-3.5,5.7,Clothing
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,CUST043,40-49,0,7,0,0,0,0,0,0,1,0,0,0,0,0,300,1,300,1,0,0,0,1,0,0,0,0,26.1,15.3,20.7,0,Clothing
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,CUST044,20-29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,25,1,25,1,0,1,0,0,0,0,0,0,8.8,2,5.4,0,Clothing
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,CUST045,50-59,0,7,0,0,0,0,0,0,1,0,0,0,0,0,30,1,30,1,0,0,0,0,1,0,0,0,25.1,19.6,22.4,2.2,Electronics
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,CUST046,20-29,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1200,4,1200,4,0,1,0,0,0,0,0,0,24,19.5,21.7,7.5,Electronics
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,CUST047,40-49,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1500,3,1500,3,0,0,0,1,0,0,0,0,12.2,8.4,10.3,4.7,Beauty
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,CUST048,50-59,0,5,0,0,0,0,1,0,0,0,0,0,0,0,900,3,900,3,0,0,0,0,1,0,1,0,25,6.6,15.8,0,Electronics
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,CUST049,50-59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1000,2,1000,2,0,0,0,0,1,0,0,0,2.7,-2,0.4,0,Electronics
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,CUST050,20-29,0,8,0,0,0,0,0,0,0,1,0,0,0,0,75,3,75,3,0,1,0,0,0,0,0,0,22.2,18.8,20.5,14.3,Beauty
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,CUST051,20-29,0,10,0,0,0,0,0,0,0,0,0,1,0,0,75,3,75,3,0,1,0,0,0,0,1,0,25.2,16.9,21.1,0,Beauty
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,CUST052,30-39,0,3,0,0,1,0,0,0,0,0,0,0,0,0,300,1,300,1,0,0,1,0,0,0,0,0,6.8,-0.1,3.3,0.4,Beauty
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,CUST053,30-39,0,7,0,0,0,0,0,0,1,0,0,0,0,0,100,2,100,2,0,0,1,0,0,0,1,0,25,16.9,20.9,34.1,Electronics
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,CUST054,30-39,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1500,3,1500,3,0,0,1,0,0,0,0,0,6.1,-2.3,1.9,0,Electronics
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,CUST055,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,120,4,120,4,0,0,1,0,0,0,1,0,12.8,7.7,10.3,2.8,Beauty
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,CUST056,20-29,0,5,0,0,0,0,1,0,0,0,0,0,0,0,900,3,900,3,0,1,0,0,0,0,0,0,30.2,16.9,23.5,0,Clothing
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,CUST057,60+,0,11,0,0,0,0,0,0,0,0,0,0,1,0,30,1,30,1,0,0,0,0,0,1,0,0,8.5,0.5,4.5,0,Beauty
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,CUST058,Under 20,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1200,4,1200,4,1,0,0,0,0,0,1,0,14,3.9,9,0,Clothing
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,CUST059,60+,0,7,0,0,0,0,0,0,1,0,0,0,0,0,50,1,50,1,0,0,0,0,0,1,1,0,31.3,22.4,26.9,0,Clothing
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,CUST060,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,150,3,150,3,0,0,1,0,0,0,1,0,12.2,2,7.1,0,Beauty
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,CUST061,20-29,0,4,0,0,0,1,0,0,0,0,0,0,0,0,200,4,200,4,0,1,0,0,0,0,1,0,10.1,1.6,5.8,0,Beauty
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,CUST062,Under 20,0,12,0,0,0,0,0,0,0,0,0,0,0,1,100,2,100,2,1,0,0,0,0,0,1,0,8.4,7.2,7.8,16.4,Beauty
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,CUST063,50-59,0,2,0,1,0,0,0,0,0,0,0,0,0,0,50,2,50,2,0,0,0,0,1,0,1,0,5.5,-0.3,2.6,0,Electronics
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,CUST064,40-49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100,4,100,4,0,0,0,1,0,0,1,0,3.2,-0.7,1.2,0,Clothing
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,CUST065,50-59,0,12,0,0,0,0,0,0,0,0,0,0,0,1,2000,4,2000,4,0,0,0,0,1,0,1,0,3.1,0.3,1.7,0.1,Electronics
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,CUST066,40-49,0,4,0,0,0,1,0,0,0,0,0,0,0,0,30,1,30,1,0,0,0,1,0,0,0,0,12.4,3.7,8.1,0,Electronics
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,CUST067,40-49,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1200,4,1200,4,0,0,0,1,0,0,0,0,24.2,17.3,20.7,0,Beauty
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,CUST068,20-29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,1,0,1,0,0,0,0,1,0,6.1,-2.3,1.9,0,Electronics
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,CUST069,50-59,0,4,0,0,0,1,0,0,0,0,0,0,0,0,75,3,75,3,0,0,0,0,1,0,0,0,11,7.4,9.2,12.2,Beauty
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,CUST070,40-49,0,2,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,1,0,0,0,1,0,0,0,0,7.1,-1,3.1,0.2,Clothing
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,CUST071,50-59,0,7,0,0,0,0,0,0,1,0,0,0,0,0,100,4,100,4,0,0,0,0,1,0,0,0,26.1,15.3,20.7,0,Beauty
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,CUST072,20-29,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2000,4,2000,4,0,1,0,0,0,0,0,0,19.5,10,14.8,0,Electronics
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,CUST073,20-29,0,8,0,0,0,0,0,0,0,1,0,0,0,0,90,3,90,3,0,1,0,0,0,0,1,0,25.6,17.5,21.5,0,Electronics
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,CUST074,Under 20,0,11,0,0,0,0,0,0,0,0,0,0,1,0,2000,4,2000,4,1,0,0,0,0,0,0,0,7.1,3,5.1,2.8,Beauty
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,CUST075,60+,0,7,0,0,0,0,0,0,1,0,0,0,0,0,200,4,200,4,0,0,0,0,0,1,1,0,30,22.2,26.1,1.1,Beauty
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,CUST076,20-29,0,3,0,0,1,0,0,0,0,0,0,0,0,0,100,2,100,2,0,1,0,0,0,0,0,0,9.6,1.8,5.7,23.8,Electronics
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,CUST077,40-49,0,7,0,0,0,0,0,0,1,0,0,0,0,0,100,2,100,2,0,0,0,1,0,0,0,0,25.9,16.9,21.4,0,Clothing
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,CUST078,40-49,Canada Day,7,0,0,0,0,0,0,1,0,0,0,0,0,1500,3,1500,3,0,0,0,1,0,0,0,1,28.7,19.4,24,0.4,Clothing
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,CUST079,30-39,0,4,0,0,0,1,0,0,0,0,0,0,0,0,300,1,300,1,0,0,1,0,0,0,1,0,6.3,2.3,4.3,0,Beauty
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,CUST080,60+,0,12,0,0,0,0,0,0,0,0,0,0,0,1,60,2,60,2,0,0,0,0,0,1,0,0,10.9,2.8,6.8,0.7,Clothing
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,CUST081,40-49,0,5,0,0,0,0,1,0,0,0,0,0,0,0,50,1,50,1,0,0,0,1,0,0,1,0,10.2,2.8,6.5,0,Electronics
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,CUST082,30-39,Boxing Day,12,0,0,0,0,0,0,0,0,0,0,0,1,200,4,200,4,0,0,1,0,0,0,0,1,7.8,5.6,6.7,0.9,Beauty
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,CUST083,50-59,0,12,0,0,0,0,0,0,0,0,0,0,0,1,100,2,100,2,0,0,0,0,1,0,1,0,7,4.7,5.8,0.2,Electronics
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,CUST084,30-39,0,11,0,0,0,0,0,0,0,0,0,0,1,0,90,3,90,3,0,0,1,0,0,0,0,0,0.2,-3.9,-1.9,0,Electronics
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,CUST085,30-39,0,2,0,1,0,0,0,0,0,0,0,0,0,0,150,3,150,3,0,0,1,0,0,0,1,0,3.3,-2.4,0.5,0,Clothing
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,CUST086,Under 20,0,11,0,0,0,0,0,0,0,0,0,0,1,0,90,3,90,3,1,0,0,0,0,0,1,0,4.6,-1.2,1.7,15.3,Beauty
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,CUST087,20-29,0,11,0,0,0,0,0,0,0,0,0,0,1,0,100,2,100,2,0,1,0,0,0,0,0,0,7.1,3,5.1,2.8,Beauty
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,CUST088,50-59,0,3,0,0,1,0,0,0,0,0,0,0,0,0,500,1,500,1,0,0,0,0,1,0,1,0,9.6,-3.5,3,2.1,Clothing
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,CUST089,50-59,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2000,4,2000,4,0,0,0,0,1,0,0,0,24.8,14.9,19.9,0,Electronics
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,CUST090,50-59,0,5,0,0,0,0,1,0,0,0,0,0,0,0,30,1,30,1,0,0,0,0,1,0,0,0,18.6,7.2,12.9,0,Electronics
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,CUST091,50-59,0,3,0,0,1,0,0,0,0,0,0,0,0,0,500,1,500,1,0,0,0,0,1,0,0,0,9.6,1.8,5.7,23.8,Electronics
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,CUST092,50-59,0,8,0,0,0,0,0,0,0,1,0,0,0,0,120,4,120,4,0,0,0,0,1,0,0,0,24.9,19.4,22.2,0,Electronics
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,CUST093,30-39,0,7,0,0,0,0,0,0,1,0,0,0,0,0,2000,4,2000,4,0,0,1,0,0,0,0,0,26.1,15.3,20.7,0,Beauty
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,CUST094,40-49,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1000,2,1000,2,0,0,0,1,0,0,0,0,21.5,8.4,14.9,9,Beauty
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,CUST095,30-39,Black Friday Sale,11,0,0,0,0,0,0,0,0,0,0,1,0,60,2,60,2,0,0,1,0,0,0,0,1,1.6,-2.3,-0.3,0,Clothing
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,CUST096,40-49,0,12,0,0,0,0,0,0,0,0,0,0,0,1,600,2,600,2,0,0,0,1,0,0,0,0,-0.2,-3.7,-2,0.3,Clothing
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,CUST097,50-59,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1000,2,1000,2,0,0,0,0,1,0,0,0,14.5,6.7,10.6,0,Beauty
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,CUST098,50-59,0,4,0,0,0,1,0,0,0,0,0,0,0,0,100,2,100,2,0,0,0,0,1,0,0,0,8.9,5.7,7.3,0,Beauty
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,CUST099,50-59,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1200,4,1200,4,0,0,0,0,1,0,0,0,8.4,5.9,7.2,12,Electronics
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,CUST100,40-49,0,6,0,0,0,0,0,1,0,0,0,0,0,0,30,1,30,1,0,0,0,1,0,0,1,0,22.9,14.6,18.7,0,Electronics
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,CUST101,30-39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,600,2,600,2,0,0,1,0,0,0,1,0,1.3,-5.6,-2.2,4.9,Clothing
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,CUST102,40-49,0,4,0,0,0,1,0,0,0,0,0,0,0,0,50,2,50,2,0,0,0,1,0,0,0,0,11.8,7.3,9.6,13.5,Beauty
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,CUST103,50-59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,1,25,1,0,0,0,0,1,0,0,0,5.3,1.7,3.5,4,Clothing
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,CUST104,30-39,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1000,2,1000,2,0,0,1,0,0,0,0,0,22.6,15.6,19.1,7,Beauty
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,CUST105,20-29,0,7,0,0,0,0,0,0,1,0,0,0,0,0,500,1,500,1,0,1,0,0,0,0,0,0,26.5,18.7,22.6,2.5,Electronics
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,CUST106,40-49,0,5,0,0,0,0,1,0,0,0,0,0,0,0,50,1,50,1,0,0,0,1,0,0,0,0,13.9,4,9,0,Clothing
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,CUST107,20-29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1200,4,1200,4,0,1,0,0,0,0,0,0,-9.3,-20.5,-14.9,0,Clothing
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,CUST108,20-29,0,4,0,0,0,1,0,0,0,0,0,0,0,0,75,3,75,3,0,1,0,0,0,0,0,0,9.1,1.5,5.3,0,Beauty
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,CUST109,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2000,4,2000,4,0,0,1,0,0,0,0,0,14.3,9.4,11.8,0,Electronics
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,CUST110,20-29,0,6,0,0,0,0,0,1,0,0,0,0,0,0,900,3,900,3,0,1,0,0,0,0,1,0,22.6,15.6,19.1,7,Clothing
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,CUST111,30-39,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1500,3,1500,3,0,0,1,0,0,0,0,0,9.1,1.5,5.3,0,Electronics
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,CUST112,30-39,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1500,3,1500,3,0,0,1,0,0,0,1,0,4.1,2.3,3.2,2.8,Clothing
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,CUST113,40-49,0,9,0,0,0,0,0,0,0,0,1,0,0,0,50,2,50,2,0,0,0,1,0,0,0,0,19.4,12.4,15.9,0,Electronics
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,CUST114,20-29,0,7,0,0,0,0,0,0,1,0,0,0,0,0,100,4,100,4,0,1,0,0,0,0,0,0,29,17.2,23.1,0,Beauty
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,CUST115,50-59,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1500,3,1500,3,0,0,0,0,1,0,1,0,6.8,1.6,4.2,9.1,Clothing
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,CUST116,20-29,0,8,0,0,0,0,0,0,0,1,0,0,0,0,30,1,30,1,0,1,0,0,0,0,0,0,20.8,15.9,18.3,2.4,Clothing
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,CUST117,Under 20,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1000,2,1000,2,1,0,0,0,0,0,1,0,6,-4.6,0.7,0,Electronics
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,CUST118,30-39,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2000,4,2000,4,0,0,1,0,0,0,0,0,25,6.6,15.8,0,Electronics
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,CUST119,60+,0,3,0,0,1,0,0,0,0,0,0,0,0,0,150,3,150,3,0,0,0,0,0,1,0,0,2,-2.3,-0.1,0.5,Clothing
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,CUST120,60+,0,5,0,0,0,0,1,0,0,0,0,0,0,0,50,1,50,1,0,0,0,0,0,1,1,0,16.7,10.5,13.6,11.1,Beauty
